,Period,PersonID,Activity,WorkHours,WorkAmount,WIPFees,BillHours,BillAmount,ARFees,WUpDown,FeesCollected,WOff,Month,Year
0,32023,6904,569407,5.2,3900.0,0.0,1.2,900.0,0.0,0.0,825.0,0.0,3,2023
1,32023,6922,547184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.5,0.0,3,2023
2,32023,7054,626417,0.14,72.1,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
3,32023,7262,567531,2.9,1716.8,0.0,5.0,2960.0,0.0,0.0,5920.0,0.0,3,2023
4,12023,6975,558552,0.6,72.0,0.0,0.0,0.0,0.0,0.0,57.71,0.0,1,2023
5,22023,7446,567602,0.5,440.0,0.0,0.9,792.0,0.0,0.0,407.5,0.0,2,2023
6,32023,7548,536932,0.5,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
7,32023,6931,567628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,3,2023
8,22023,6904,566232,2.0,1090.0,0.0,3.9,2125.5,0.0,0.0,1689.5,0.0,2,2023
9,22023,7752,558361,0.9,118.12,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
10,12023,6975,558552,2.3,276.0,0.0,0.6,117.8,0.0,57.8,0.0,0.0,1,2023
11,12023,7700,566751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1,2023
12,22023,7752,558361,0.0,0.0,0.0,1.1,144.38,0.0,0.0,0.0,0.0,2,2023
13,32023,7598,558361,17.4,6394.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
14,22023,6975,558552,0.6,72.0,0.0,0.6,79.6,0.0,7.6,0.0,0.0,2,2023
15,22023,7484,626415,6.4,5856.0,3019.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
16,12023,6915,536932,1.7,289.17,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
17,32023,6975,558552,0.2,24.0,0.0,1.3,155.38,0.0,11.38,0.0,0.0,3,2023
18,12023,7854,536932,105.4,36552.72,0.0,91.7,29298.15,0.0,0.0,447.32,0.0,1,2023
19,32023,7020,567082,0.0,0.0,0.0,0.5,106.14,0.0,-22.84,106.14,0.0,3,2023
20,22023,7486,567823,0.0,0.0,0.0,2.7,1147.5,0.0,0.0,0.0,0.0,2,2023
21,32023,7463,558552,17.6,2112.0,0.0,15.31,1833.4,0.0,33.4,0.0,0.0,3,2023
22,12023,7700,558361,19.1,2865.0,0.0,0.0,0.0,0.0,0.0,3397.2,0.0,1,2023
23,22023,7660,626417,8.08,2949.2,,0.0,0.0,0.0,0.0,0.0,0.0,2,2023
24,32023,7446,553516,1.8,612.0,0.0,0.7,238.0,0.0,0.0,1768.0,0.0,3,2023
25,12023,7677,569773,1.0,470.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
26,12023,7238,536932,2.9,2341.75,0.0,1.8,1190.7,0.0,0.0,77.0,0.0,1,2023
27,12023,7666,553516,0.0,0.0,0.0,0.8,208.0,0.0,0.0,0.0,0.0,1,2023
28,32023,7446,551492,0.1,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
29,32023,7036,626417,19.5,6922.5,,0.0,0.0,0.0,0.0,0.0,0.0,3,2023
30,32023,7442,566751,6.5,1105.0,0.0,0.99,169.88,169.88,-34.15,0.0,0.0,3,2023
31,32023,7658,564675,0.9,198.0,0.0,0.25,56.1,0.0,-9.9,0.0,0.0,3,2023
32,12023,1460,567780,1.4,539.1,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
33,12023,7598,566309,0.8,428.0,0.0,0.2,107.0,0.0,0.0,849.84,0.0,1,2023
34,12023,7069,567082,0.4,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
35,12023,6907,558361,0.4,212.0,0.0,0.9,362.52,0.0,0.0,0.0,0.0,1,2023
36,22023,7660,536932,0.0,0.0,0.0,185.3,31519.53,0.0,0.0,73.85,0.0,2,2023
37,12023,6880,536932,1.2,204.12,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
38,12023,7773,626417,1.0,425.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
39,12023,7677,558260,0.3,139.13,0.0,2.5,1415.62,0.0,408.67,0.0,0.0,1,2023
40,32023,6853,565535,8.5,1700.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,3,2023
41,12023,7694,566036,0.5,85.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
42,22023,7694,566036,0.8,136.0,0.0,0.6,102.0,0.0,0.0,454.7,4.3,2,2023
43,32023,7621,558361,16.0,1960.01,0.0,10.0,0.0,0.0,-1363.25,0.0,0.0,3,2023
44,12023,7658,569270,4.9,1445.86,,0.0,0.0,0.0,0.0,0.0,0.0,1,2023
